,GeoFips,GeoName,year,MEDINC,MEDVAL,MOE,UMEDVAL,LMEDVAL,PERINC,POP,RPPALL,RPPGOODS,RPPRENT,RPPSOTH,IPD
42,14260,"Boise City, ID (Metropolitan Statistical Area)",2019,47881,239900,2592,242492,237308,35872855,749202,93.6,93.2,87.2,99,102
43,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2019,81498,437500,1325,438825,436175,397139161,4873019,115.5,103.7,143.6,111.3,125.8
44,14500,"Boulder, CO (Metropolitan Statistical Area) *",2019,76527,497300,6119,503419,491181,24962717,326196,106.7,96.4,152,96.6,116.1
45,14540,"Bowling Green, KY (Metropolitan Statistical Area)",2019,37114,151000,3932,154932,147068,6652350,179240,84.7,92.5,62.9,90.3,92.2
46,14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",2019,58874,329900,4477,334377,325423,15982626,271473,108.7,106.6,119.9,104.6,118.4
47,14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2019,121397,428500,3954,432454,424546,114517862,943332,112.4,105.3,134.4,109,122.4
48,15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2019,29928,85800,1364,87164,84436,12664258,423163,82.2,96.5,56.9,91.3,89.5
49,15260,"Brunswick, GA (Metropolitan Statistical Area)",2019,42885,155300,5746,161046,149554,5093781,118779,87.8,92.5,71.6,95,95.6
50,15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2019,52331,148500,941,149441,147559,59028041,1127983,94.5,98.9,79.9,97.9,102.9
51,15500,"Burlington, NC (Metropolitan Statistical Area)",2019,41193,154800,2576,157376,152224,6982583,169509,89.5,96.6,70.2,95.1,97.5
52,15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2019,58662,275600,3275,278875,272325,12929749,220411,106.2,99.1,122.8,103.8,115.6
53,15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2019,58582,301300,7297,308597,294003,6649699,113510,96.4,92.5,105.7,95,104.9
54,15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2019,46061,133900,1342,135242,132558,18310362,397520,85.2,95.4,60.6,91.4,92.8
55,15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2019,52064,224800,2131,226931,222669,40119053,770577,97.7,96.6,104,95.1,106.3
56,16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2019,44571,150800,3468,154268,147332,4312900,96765,84.7,93.9,64.6,91.1,92.2
57,16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2019,41733,111800,3005,114805,108795,5665870,135764,83.2,94.6,59.8,90.4,90.6
58,16180,"Carson City, NV (Metropolitan Statistical Area)",2019,52470,273800,7926,281726,265874,2933904,55916,96.8,97.7,99.5,93.9,105.4
