"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M300US10100","Aberdeen, SD Micro Area","151400","5533"
"310M300US10140","Aberdeen, WA Micro Area","161800","5589"
"310M300US10180","Abilene, TX Metro Area","102000","2634"
"310M300US10220","Ada, OK Micro Area","120300","6040"
"310M300US10260","Adjuntas, PR Micro Area","81700","7084"
"310M300US10300","Adrian, MI Micro Area","124900","2986"
"310M300US10380","Aguadilla-Isabela, PR Metro Area","99100","1940"
"310M300US10420","Akron, OH Metro Area","140800","1409"
"310M300US10460","Alamogordo, NM Micro Area","106300","5473"
"310M300US10500","Albany, GA Metro Area","111700","3130"
"310M300US10540","Albany, OR Metro Area","184900","4443"
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","203300","1705"
"310M300US10620","Albemarle, NC Micro Area","133000","4551"
"310M300US10660","Albert Lea, MN Micro Area","105100","3647"
"310M300US10700","Albertville, AL Micro Area","118500","3851"
"310M300US10740","Albuquerque, NM Metro Area","181300","1427"
"310M300US10760","Alexander City, AL Micro Area","107000","7345"
"310M300US10780","Alexandria, LA Metro Area","128700","4161"
"310M300US10820","Alexandria, MN Micro Area","197200","3647"
"310M300US10860","Alice, TX Micro Area","73800","5652"
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","202800","1657"
"310M300US10940","Alma, MI Micro Area","92100","2452"
"310M300US10980","Alpena, MI Micro Area","94000","2875"
"310M300US11020","Altoona, PA Metro Area","117300","2559"
"310M300US11060","Altus, OK Micro Area","97800","9327"
"310M300US11100","Amarillo, TX Metro Area","129900","2378"
"310M300US11140","Americus, GA Micro Area","84700","4525"
"310M300US11180","Ames, IA Metro Area","172900","3657"
"310M300US11220","Amsterdam, NY Micro Area","99900","3850"
"310M300US11260","Anchorage, AK Metro Area","284300","2935"
"310M300US11380","Andrews, TX Micro Area","126000","15484"
"310M300US11420","Angola, IN Micro Area","136300","5716"
"310M300US11460","Ann Arbor, MI Metro Area","231500","3045"
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","110100","3241"
"310M300US11540","Appleton, WI Metro Area","161800","1529"
"310M300US11580","Arcadia, FL Micro Area","83700","3293"
"310M300US11620","Ardmore, OK Micro Area","109000","4263"
"310M300US11640","Arecibo, PR Metro Area","99700","2145"
"310M300US11660","Arkadelphia, AR Micro Area","95000","6006"
"310M300US11680","Arkansas City-Winfield, KS Micro Area","85700","2800"
"310M300US11700","Asheville, NC Metro Area","198100","3144"
