"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M300US14300","Bonham, TX Micro Area","94500","4431"
"310M300US14340","Boone, IA Micro Area","122900","4197"
"310M300US14380","Boone, NC Micro Area","230700","6697"
"310M300US14420","Borger, TX Micro Area","72800","4792"
"310M300US14460","Boston-Cambridge-Newton, MA-NH Metro Area","379200","996"
"310M300US14500","Boulder, CO Metro Area","391000","5017"
"310M300US14540","Bowling Green, KY Metro Area","129300","3248"
"310M300US14580","Bozeman, MT Micro Area","285200","6108"
"310M300US14620","Bradford, PA Micro Area","76000","2264"
"310M300US14660","Brainerd, MN Micro Area","179400","4265"
"310M300US14700","Branson, MO Micro Area","134200","6270"
"310M300US14720","Breckenridge, CO Micro Area","496100","37997"
"310M300US14740","Bremerton-Silverdale, WA Metro Area","262400","3889"
"310M300US14780","Brenham, TX Micro Area","156000","12945"
"310M300US14820","Brevard, NC Micro Area","203100","8589"
"310M300US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","413400","4573"
"310M300US15020","Brookhaven, MS Micro Area","91400","8026"
"310M300US15060","Brookings, OR Micro Area","222100","15517"
"310M300US15100","Brookings, SD Micro Area","160500","5334"
"310M300US15140","Brownsville, TN Micro Area","100500","6209"
"310M300US15180","Brownsville-Harlingen, TX Metro Area","79900","1375"
"310M300US15220","Brownwood, TX Micro Area","91000","4774"
"310M300US15260","Brunswick, GA Metro Area","134100","7064"
"310M300US15340","Bucyrus, OH Micro Area","85200","1938"
"310M300US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","129800","853"
"310M300US15420","Burley, ID Micro Area","122500","4260"
"310M300US15460","Burlington, IA-IL Micro Area","95600","2236"
"310M300US15500","Burlington, NC Metro Area","143500","2715"
"310M300US15540","Burlington-South Burlington, VT Metro Area","257300","3182"
"310M300US15580","Butte-Silver Bow, MT Micro Area","133700","8150"
"310M300US15620","Cadillac, MI Micro Area","97000","3200"
"310M300US15660","Calhoun, GA Micro Area","112300","5194"
"310M300US15680","California-Lexington Park, MD Metro Area","295900","5444"
"310M300US15700","Cambridge, MD Micro Area","188100","6248"
"310M300US15740","Cambridge, OH Micro Area","98600","3808"
"310M300US15780","Camden, AR Micro Area","67900","4211"
