"GEO_ID","NAME","S2001_C01_001E","S2001_C01_001M","S2001_C01_002E","S2001_C01_002M","S2001_C01_003E","S2001_C01_003M","S2001_C01_004E","S2001_C01_004M","S2001_C01_005E","S2001_C01_005M","S2001_C01_006E","S2001_C01_006M","S2001_C01_007E","S2001_C01_007M","S2001_C01_008E","S2001_C01_008M","S2001_C01_009E","S2001_C01_009M","S2001_C01_010E","S2001_C01_010M","S2001_C01_011E","S2001_C01_011M","S2001_C01_012E","S2001_C01_012M","S2001_C01_013E","S2001_C01_013M","S2001_C01_014E","S2001_C01_014M","S2001_C01_015E","S2001_C01_015M","S2001_C01_016E","S2001_C01_016M","S2001_C01_017E","S2001_C01_017M","S2001_C01_018E","S2001_C01_018M","S2001_C01_019E","S2001_C01_019M","S2001_C01_020E","S2001_C01_020M","S2001_C01_021E","S2001_C01_021M","S2001_C02_001E","S2001_C02_001M","S2001_C02_002E","S2001_C02_002M","S2001_C02_003E","S2001_C02_003M","S2001_C02_004E","S2001_C02_004M","S2001_C02_005E","S2001_C02_005M","S2001_C02_006E","S2001_C02_006M","S2001_C02_007E","S2001_C02_007M","S2001_C02_008E","S2001_C02_008M","S2001_C02_009E","S2001_C02_009M","S2001_C02_010E","S2001_C02_010M","S2001_C02_011E","S2001_C02_011M","S2001_C02_012E","S2001_C02_012M","S2001_C02_013E","S2001_C02_013M","S2001_C02_014E","S2001_C02_014M","S2001_C02_015E","S2001_C02_015M","S2001_C02_016E","S2001_C02_016M","S2001_C02_017E","S2001_C02_017M","S2001_C02_018E","S2001_C02_018M","S2001_C02_019E","S2001_C02_019M","S2001_C02_020E","S2001_C02_020M","S2001_C02_021E","S2001_C02_021M","S2001_C03_001E","S2001_C03_001M","S2001_C03_002E","S2001_C03_002M","S2001_C03_003E","S2001_C03_003M","S2001_C03_004E","S2001_C03_004M","S2001_C03_005E","S2001_C03_005M","S2001_C03_006E","S2001_C03_006M","S2001_C03_007E","S2001_C03_007M","S2001_C03_008E","S2001_C03_008M","S2001_C03_009E","S2001_C03_009M","S2001_C03_010E","S2001_C03_010M","S2001_C03_011E","S2001_C03_011M","S2001_C03_012E","S2001_C03_012M","S2001_C03_013E","S2001_C03_013M","S2001_C03_014E","S2001_C03_014M","S2001_C03_015E","S2001_C03_015M","S2001_C03_016E","S2001_C03_016M","S2001_C03_017E","S2001_C03_017M","S2001_C03_018E","S2001_C03_018M","S2001_C03_019E","S2001_C03_019M","S2001_C03_020E","S2001_C03_020M","S2001_C03_021E","S2001_C03_021M"
"id","Geographic Area Name","Total!!Estimate!!Population 16 years and over with earnings","Total!!Margin of Error!!Population 16 years and over with earnings","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Full-time, year-round workers with earnings","Total!!Margin of Error!!Full-time, year-round workers with earnings","Total!!Estimate!!$1 to $9,999 or loss","Total!!Margin of Error!!$1 to $9,999 or loss","Total!!Estimate!!$10,000 to $14,999","Total!!Margin of Error!!$10,000 to $14,999","Total!!Estimate!!$15,000 to $24,999","Total!!Margin of Error!!$15,000 to $24,999","Total!!Estimate!!$25,000 to $34,999","Total!!Margin of Error!!$25,000 to $34,999","Total!!Estimate!!$35,000 to $49,999","Total!!Margin of Error!!$35,000 to $49,999","Total!!Estimate!!$50,000 to $64,999","Total!!Margin of Error!!$50,000 to $64,999","Total!!Estimate!!$65,000 to $74,999","Total!!Margin of Error!!$65,000 to $74,999","Total!!Estimate!!$75,000 to $99,999","Total!!Margin of Error!!$75,000 to $99,999","Total!!Estimate!!$100,000 or more","Total!!Margin of Error!!$100,000 or more","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Mean earnings (dollars)","Total!!Margin of Error!!Mean earnings (dollars)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Total!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Estimate!!Population 16 years and over with earnings","Male!!Margin of Error!!Population 16 years and over with earnings","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Full-time, year-round workers with earnings","Male!!Margin of Error!!Full-time, year-round workers with earnings","Male!!Estimate!!$1 to $9,999 or loss","Male!!Margin of Error!!$1 to $9,999 or loss","Male!!Estimate!!$10,000 to $14,999","Male!!Margin of Error!!$10,000 to $14,999","Male!!Estimate!!$15,000 to $24,999","Male!!Margin of Error!!$15,000 to $24,999","Male!!Estimate!!$25,000 to $34,999","Male!!Margin of Error!!$25,000 to $34,999","Male!!Estimate!!$35,000 to $49,999","Male!!Margin of Error!!$35,000 to $49,999","Male!!Estimate!!$50,000 to $64,999","Male!!Margin of Error!!$50,000 to $64,999","Male!!Estimate!!$65,000 to $74,999","Male!!Margin of Error!!$65,000 to $74,999","Male!!Estimate!!$75,000 to $99,999","Male!!Margin of Error!!$75,000 to $99,999","Male!!Estimate!!$100,000 or more","Male!!Margin of Error!!$100,000 or more","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Mean earnings (dollars)","Male!!Margin of Error!!Mean earnings (dollars)","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Male!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Estimate!!Population 16 years and over with earnings","Female!!Margin of Error!!Population 16 years and over with earnings","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Full-time, year-round workers with earnings","Female!!Margin of Error!!Full-time, year-round workers with earnings","Female!!Estimate!!$1 to $9,999 or loss","Female!!Margin of Error!!$1 to $9,999 or loss","Female!!Estimate!!$10,000 to $14,999","Female!!Margin of Error!!$10,000 to $14,999","Female!!Estimate!!$15,000 to $24,999","Female!!Margin of Error!!$15,000 to $24,999","Female!!Estimate!!$25,000 to $34,999","Female!!Margin of Error!!$25,000 to $34,999","Female!!Estimate!!$35,000 to $49,999","Female!!Margin of Error!!$35,000 to $49,999","Female!!Estimate!!$50,000 to $64,999","Female!!Margin of Error!!$50,000 to $64,999","Female!!Estimate!!$65,000 to $74,999","Female!!Margin of Error!!$65,000 to $74,999","Female!!Estimate!!$75,000 to $99,999","Female!!Margin of Error!!$75,000 to $99,999","Female!!Estimate!!$100,000 or more","Female!!Margin of Error!!$100,000 or more","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Mean earnings (dollars)","Female!!Margin of Error!!Mean earnings (dollars)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Female!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months"
"0400000US01","Alabama","2359392","6820","25994","118","1442198","5894","2.3","0.1","5.7","0.2","19.4","0.3","19.4","0.3","20.9","0.2","13.4","0.2","5.0","0.1","6.9","0.1","7.0","0.1","(X)","(X)","47873","307","30895","133","17983","285","25316","202","30633","170","44842","419","54292","437","15.2","(X)","1241701","3993","31862","153","833529","4135","1.9","0.1","4.1","0.2","15.1","0.3","17.7","0.3","20.8","0.3","15.0","0.3","6.0","0.2","9.1","0.2","10.2","0.2","42132","230","55631","429","37601","324","21785","244","31825","243","39747","466","57787","1215","75417","1404","(X)","(X)","1117691","4602","20758","138","608669","3830","2.9","0.2","7.9","0.2","25.3","0.3","21.8","0.4","21.0","0.3","11.0","0.2","3.6","0.2","3.9","0.2","2.6","0.1","31004","161","37249","247","24486","209","13312","302","19339","234","24629","262","36836","346","48193","438","(X)","(X)"
"0400000US02","Alaska","411531","1767","32389","339","214979","2107","1.9","0.2","2.8","0.3","10.7","0.6","16.2","0.6","21.8","0.6","17.1","0.6","8.0","0.4","11.2","0.5","10.4","0.4","(X)","(X)","57966","745","39694","537","20317","950","31391","553","39174","699","49219","1152","64913","1443","13.1","(X)","226651","1210","40176","664","126624","1392","1.6","0.2","2.0","0.3","9.1","0.7","13.4","0.8","18.3","0.7","17.7","0.8","9.5","0.6","13.9","0.7","14.4","0.6","53558","706","65715","1098","48455","820","23089","2134","39484","1357","48809","1189","61557","1098","73507","1933","(X)","(X)","184880","1504","26525","363","88355","1364","2.2","0.3","4.0","0.5","12.8","0.8","20.1","0.9","26.8","1.0","16.1","0.9","5.9","0.5","7.5","0.6","4.6","0.5","40434","543","46862","783","31566","417","15607","1471","22611","1115","31504","614","41110","968","56080","1932","(X)","(X)"
"0400000US04","Arizona","3145083","7904","29573","192","1905585","7665","2.0","0.1","4.7","0.1","15.9","0.2","18.4","0.2","22.1","0.2","14.0","0.2","5.4","0.1","8.3","0.1","9.1","0.1","(X)","(X)","52695","254","34112","185","19968","270","27252","192","33970","270","47454","529","59528","939","16.1","(X)","1695164","4615","33863","302","1119695","5530","1.7","0.1","4.2","0.2","14.0","0.3","16.0","0.3","21.0","0.3","15.1","0.3","6.0","0.1","9.8","0.2","12.2","0.2","44021","291","59188","377","39803","291","23445","475","31640","319","40669","331","58065","1048","74092","1675","(X)","(X)","1449919","5275","24844","222","785890","5050","2.3","0.1","5.5","0.2","18.8","0.3","22.0","0.4","23.7","0.4","12.3","0.3","4.5","0.2","6.2","0.2","4.8","0.2","35675","192","43445","277","28952","247","15100","313","22693","398","28605","330","38904","496","49665","769","(X)","(X)"
"0400000US05","Arkansas","1446407","4773","24084","209","869848","4732","2.6","0.1","6.6","0.2","22.3","0.4","21.4","0.3","20.6","0.3","11.6","0.3","4.2","0.2","5.3","0.2","5.4","0.2","(X)","(X)","43535","375","28175","272","18826","370","23986","292","28277","381","41485","433","53206","832","14.6","(X)","757316","3205","29438","402","494952","3352","2.2","0.1","4.6","0.2","17.8","0.4","19.9","0.4","21.9","0.4","13.4","0.3","5.2","0.2","7.1","0.2","7.9","0.2","37904","420","50231","557","33663","363","21706","364","30186","303","35734","405","51246","740","67248","1576","(X)","(X)","689091","3128","19987","197","374896","3106","3.2","0.2","9.1","0.3","28.2","0.5","23.4","0.5","18.9","0.4","9.2","0.4","2.9","0.2","3.1","0.2","2.1","0.2","28559","309","34694","352","22754","252","14634","341","18849","298","22943","400","35366","448","47145","612","(X)","(X)"
"0400000US06","California","18968729","23763","31245","63","11138444","21136","2.0","0.1","4.6","0.1","14.9","0.1","14.7","0.1","18.6","0.1","13.9","0.1","6.4","0.1","10.7","0.1","14.3","0.1","(X)","(X)","61561","216","37162","106","19219","93","29040","162","37453","112","54186","197","75544","240","16.1","(X)","10293722","11957","36142","117","6648672","12598","1.7","0.1","4.0","0.1","13.9","0.1","13.5","0.1","17.2","0.1","13.8","0.1","6.5","0.1","11.4","0.1","17.8","0.1","49517","254","68215","293","42616","168","22387","93","33640","214","44602","196","64895","333","91061","380","(X)","(X)","8675007","15658","26155","83","4489772","14559","2.4","0.1","5.5","0.1","16.4","0.1","16.4","0.1","20.6","0.1","13.9","0.1","6.2","0.1","9.5","0.1","9.1","0.1","41036","125","51707","176","31328","89","14652","95","23349","189","31477","95","45983","233","62365","249","(X)","(X)"
"0400000US08","Colorado","2830977","6334","31094","134","1667776","6694","2.1","0.1","4.4","0.1","12.6","0.2","16.6","0.2","21.4","0.2","14.9","0.2","6.7","0.1","9.6","0.2","11.6","0.2","(X)","(X)","57852","305","36696","167","20162","321","29256","357","34480","262","46891","330","60848","509","13.3","(X)","1527774","4136","36882","255","992078","4768","1.8","0.1","3.9","0.2","10.8","0.2","14.2","0.2","20.0","0.3","15.2","0.2","7.4","0.2","11.5","0.2","15.4","0.3","49412","330","65244","428","43286","303","23312","515","34184","452","41522","312","59412","878","77096","779","(X)","(X)","1303203","4349","25487","158","675698","4741","2.5","0.1","5.2","0.2","15.3","0.3","20.2","0.4","23.5","0.3","14.4","0.3","5.8","0.2","7.0","0.2","6.1","0.2","38644","273","46999","289","30400","165","14584","559","23081","426","28212","394","37321","327","48758","631","(X)","(X)"
"0400000US09","Connecticut","2001798","4613","36787","199","1183203","5199","1.3","0.1","2.0","0.1","8.9","0.2","13.7","0.3","20.2","0.3","16.8","0.2","8.0","0.2","12.6","0.2","16.4","0.2","(X)","(X)","73433","530","43324","250","22635","591","32961","361","40326","317","57222","611","73963","700","16.1","(X)","1037907","2597","44959","373","686336","3684","1.2","0.1","1.6","0.1","7.2","0.2","11.1","0.3","17.7","0.3","17.1","0.3","8.4","0.2","14.0","0.3","21.8","0.3","59514","537","85835","766","52326","275","26808","638","40858","387","49646","647","71477","693","93713","1440","(X)","(X)","963891","3526","30228","159","496867","3897","1.6","0.1","2.6","0.2","11.3","0.3","17.4","0.4","23.8","0.4","16.3","0.3","7.4","0.2","10.6","0.2","9.0","0.3","45016","333","56301","390","35234","218","18742","676","26441","263","33397","446","45529","709","60443","689","(X)","(X)"
"0400000US10","Delaware","480932","3001","31924","250","296409","2898","1.4","0.2","3.0","0.3","12.7","0.4","18.2","0.5","23.1","0.5","15.7","0.5","7.1","0.3","8.9","0.4","9.9","0.4","(X)","(X)","55772","698","37648","414","21350","600","30610","454","36841","519","50002","890","65094","1321","15.8","(X)","246079","1654","37538","597","163864","1727","1.0","0.2","2.5","0.3","10.8","0.5","14.9","0.6","21.8","0.7","16.7","0.6","7.8","0.5","10.7","0.5","13.7","0.5","49051","736","63245","921","43821","515","24765","1255","36893","861","43237","789","58798","1814","78490","4152","(X)","(X)","234853","2159","27283","325","132545","2098","1.8","0.3","3.7","0.4","15.0","0.8","22.3","0.8","24.6","0.7","14.5","0.8","6.3","0.4","6.7","0.4","5.1","0.4","38680","531","46534","790","31968","349","16520","1047","25453","459","31802","534","43138","1209","54961","1553","(X)","(X)"
"0400000US11","District of Columbia","346698","2480","41171","440","219689","2418","1.3","0.2","2.3","0.3","8.7","0.5","12.1","0.6","19.0","0.5","14.4","0.6","7.1","0.5","12.9","0.5","22.3","0.6","(X)","(X)","78611","1032","48881","674","20793","1014","29884","882","37607","1303","57386","1609","80683","1402","20.2","(X)","168944","1576","43801","726","111827","1621","1.1","0.3","2.1","0.4","8.8","0.7","11.5","0.8","18.0","0.7","12.7","0.8","6.2","0.6","13.0","0.7","26.7","0.8","59937","1186","88371","1988","51758","614","22833","1511","31731","885","38672","2291","62914","2307","93349","3171","(X)","(X)","177754","1747","38457","795","107862","1795","1.4","0.2","2.4","0.4","8.6","0.6","12.8","0.7","20.1","0.9","16.2","0.8","7.9","0.6","12.8","0.7","17.7","0.7","53266","886","68492","936","45964","765","18136","1765","26925","719","37001","1478","52674","1651","71196","1343","(X)","(X)"
