"GEO_ID","NAME","S2001_C01_001E","S2001_C01_001M","S2001_C01_002E","S2001_C01_002M","S2001_C01_003E","S2001_C01_003M","S2001_C01_004E","S2001_C01_004M","S2001_C01_005E","S2001_C01_005M","S2001_C01_006E","S2001_C01_006M","S2001_C01_007E","S2001_C01_007M","S2001_C01_008E","S2001_C01_008M","S2001_C01_009E","S2001_C01_009M","S2001_C01_010E","S2001_C01_010M","S2001_C01_011E","S2001_C01_011M","S2001_C01_012E","S2001_C01_012M","S2001_C01_013E","S2001_C01_013M","S2001_C01_014E","S2001_C01_014M","S2001_C01_015E","S2001_C01_015M","S2001_C01_016E","S2001_C01_016M","S2001_C01_017E","S2001_C01_017M","S2001_C01_018E","S2001_C01_018M","S2001_C01_019E","S2001_C01_019M","S2001_C01_020E","S2001_C01_020M","S2001_C01_021E","S2001_C01_021M","S2001_C02_001E","S2001_C02_001M","S2001_C02_002E","S2001_C02_002M","S2001_C02_003E","S2001_C02_003M","S2001_C02_004E","S2001_C02_004M","S2001_C02_005E","S2001_C02_005M","S2001_C02_006E","S2001_C02_006M","S2001_C02_007E","S2001_C02_007M","S2001_C02_008E","S2001_C02_008M","S2001_C02_009E","S2001_C02_009M","S2001_C02_010E","S2001_C02_010M","S2001_C02_011E","S2001_C02_011M","S2001_C02_012E","S2001_C02_012M","S2001_C02_013E","S2001_C02_013M","S2001_C02_014E","S2001_C02_014M","S2001_C02_015E","S2001_C02_015M","S2001_C02_016E","S2001_C02_016M","S2001_C02_017E","S2001_C02_017M","S2001_C02_018E","S2001_C02_018M","S2001_C02_019E","S2001_C02_019M","S2001_C02_020E","S2001_C02_020M","S2001_C02_021E","S2001_C02_021M","S2001_C03_001E","S2001_C03_001M","S2001_C03_002E","S2001_C03_002M","S2001_C03_003E","S2001_C03_003M","S2001_C03_004E","S2001_C03_004M","S2001_C03_005E","S2001_C03_005M","S2001_C03_006E","S2001_C03_006M","S2001_C03_007E","S2001_C03_007M","S2001_C03_008E","S2001_C03_008M","S2001_C03_009E","S2001_C03_009M","S2001_C03_010E","S2001_C03_010M","S2001_C03_011E","S2001_C03_011M","S2001_C03_012E","S2001_C03_012M","S2001_C03_013E","S2001_C03_013M","S2001_C03_014E","S2001_C03_014M","S2001_C03_015E","S2001_C03_015M","S2001_C03_016E","S2001_C03_016M","S2001_C03_017E","S2001_C03_017M","S2001_C03_018E","S2001_C03_018M","S2001_C03_019E","S2001_C03_019M","S2001_C03_020E","S2001_C03_020M","S2001_C03_021E","S2001_C03_021M"
"0400000US24","Maryland","3279924","6550","40501","162","2167834","7360","1.4","0.1","2.6","0.1","8.9","0.2","12.6","0.2","18.1","0.2","15.8","0.2","7.7","0.1","13.5","0.2","19.4","0.2","(X)","(X)","71056","295","46908","236","24167","463","33724","277","42193","254","60017","481","81516","442","19.0","(X)","1661104","4211","45763","317","1177543","4872","1.2","0.1","2.2","0.1","7.9","0.2","11.1","0.2","16.6","0.3","15.4","0.2","7.5","0.2","13.9","0.2","24.1","0.3","60165","333","79085","440","52911","313","27820","675","39265","458","50346","472","71389","601","100181","646","(X)","(X)","1618820","4887","35135","231","990291","5158","1.6","0.1","3.0","0.1","10.1","0.2","14.3","0.3","19.9","0.3","16.4","0.3","7.8","0.2","13.1","0.2","13.8","0.2","50743","244","61509","330","41234","223","18298","582","28762","461","36682","392","51510","404","68813","674","(X)","(X)"
"0400000US25","Massachusetts","3764412","8035","37436","183","2231467","8838","1.2","0.1","1.8","0.1","7.8","0.1","12.7","0.2","19.1","0.2","16.7","0.2","8.1","0.1","13.6","0.1","19.0","0.2","(X)","(X)","74283","383","44926","224","22886","527","32528","293","39221","327","56708","449","73350","487","20.1","(X)","1912991","5957","44611","282","1260799","6532","1.0","0.1","1.5","0.1","6.6","0.2","10.7","0.2","16.8","0.2","16.4","0.2","8.0","0.2","14.7","0.2","24.4","0.3","61714","259","84561","550","52617","267","27184","463","39838","438","47011","543","70280","574","92283","916","(X)","(X)","1851421","4403","31498","163","970668","5038","1.5","0.1","2.2","0.1","9.4","0.2","15.3","0.3","22.1","0.3","17.2","0.3","8.1","0.2","12.2","0.2","12.0","0.2","49567","299","60934","341","37975","275","19090","502","25821","258","33168","359","47288","513","62318","331","(X)","(X)"
"0400000US26","Michigan","4905702","10402","27763","164","2787488","8809","2.2","0.1","3.7","0.1","13.4","0.1","16.5","0.1","20.3","0.1","15.4","0.1","7.1","0.1","10.6","0.1","10.8","0.1","(X)","(X)","57165","248","34045","161","18138","364","26097","128","31463","144","48570","345","67178","388","16.8","(X)","2530891","6108","34444","220","1589229","6124","2.0","0.1","2.9","0.1","10.7","0.2","13.8","0.2","19.2","0.2","16.1","0.2","7.8","0.1","12.7","0.2","14.7","0.2","50845","182","65035","355","41759","171","21711","337","31920","183","40459","212","61308","435","81366","651","(X)","(X)","2374811","6143","22340","109","1198259","5500","2.6","0.1","4.8","0.1","17.0","0.2","20.0","0.2","21.8","0.2","14.5","0.2","6.2","0.1","7.8","0.2","5.5","0.1","38381","232","46727","252","27459","149","13807","354","20494","136","25539","180","39202","351","57616","702","(X)","(X)"
"0400000US27","Minnesota","3103327","5272","33277","153","1860072","5810","1.7","0.1","2.7","0.1","10.2","0.1","15.7","0.2","22.6","0.2","16.8","0.2","7.1","0.1","10.8","0.1","12.4","0.1","(X)","(X)","61849","260","39570","185","21149","329","30340","169","36151","194","51312","249","66964","500","14.9","(X)","1611802","3162","39915","240","1064640","4336","1.5","0.1","2.3","0.1","8.2","0.2","13.2","0.2","20.9","0.2","17.8","0.2","7.6","0.1","12.3","0.2","16.2","0.2","52151","164","69608","402","45851","239","24244","677","35623","273","43390","324","62016","408","80410","817","(X)","(X)","1491525","3752","27655","204","795432","4160","1.9","0.1","3.3","0.1","12.9","0.3","19.0","0.3","24.9","0.3","15.6","0.3","6.4","0.2","8.7","0.2","7.4","0.2","41837","161","51465","276","33020","204","16945","458","23667","260","30469","183","42346","301","59300","809","(X)","(X)"
"0400000US28","Mississippi","1365551","5542","26188","178","875394","4752","2.8","0.1","6.1","0.2","19.1","0.3","20.4","0.3","21.5","0.4","12.9","0.2","4.8","0.2","6.3","0.2","6.2","0.2","(X)","(X)","46389","393","30412","175","18435","392","25722","271","29536","346","41076","449","51739","546","19.4","(X)","705662","3498","31341","235","480360","3638","2.3","0.2","4.3","0.3","15.1","0.4","18.4","0.4","21.7","0.5","14.9","0.4","5.7","0.2","8.3","0.3","9.3","0.3","41093","265","54026","601","36078","289","21862","495","31571","326","36974","439","52400","797","64610","1676","(X)","(X)","659889","3355","21815","219","395034","2969","3.3","0.2","8.2","0.4","24.1","0.5","22.8","0.4","21.2","0.5","10.6","0.3","3.6","0.2","3.7","0.2","2.5","0.2","31055","231","37102","384","25196","250","14184","451","19828","393","24146","393","35497","428","45616","761","(X)","(X)"
"0400000US29","Missouri","3149459","6931","28460","165","1947985","7527","2.2","0.1","4.3","0.1","15.5","0.2","19.3","0.2","21.9","0.2","14.2","0.2","5.9","0.1","8.2","0.1","8.6","0.1","(X)","(X)","52672","280","33304","152","19235","403","26957","144","31670","148","44388","343","56837","560","17.4","(X)","1620139","4759","33503","221","1075336","4893","1.8","0.1","3.4","0.1","12.5","0.2","16.7","0.3","21.0","0.2","15.4","0.2","6.8","0.2","10.1","0.2","12.3","0.2","45264","247","60752","381","39826","274","22752","599","32063","224","38863","378","55303","791","72422","1048","(X)","(X)","1529320","4556","23943","176","872649","5331","2.6","0.1","5.4","0.2","19.2","0.3","22.5","0.3","23.1","0.3","12.6","0.2","4.7","0.1","5.8","0.2","4.1","0.1","35142","212","42714","294","28269","210","15288","290","21773","172","26722","211","37332","340","49380","514","(X)","(X)"
"0400000US30","Montana","556618","2303","25594","224","316728","2419","2.9","0.2","5.0","0.3","16.1","0.5","20.2","0.4","21.6","0.5","13.7","0.4","5.9","0.3","7.4","0.3","7.1","0.3","(X)","(X)","48766","516","30486","249","18384","1292","25118","459","28572","698","37247","593","51520","737","18.1","(X)","295166","1688","31254","343","185220","1781","2.9","0.2","4.0","0.3","12.3","0.6","17.0","0.6","22.0","0.6","15.3","0.6","7.0","0.4","9.7","0.5","9.9","0.5","43490","534","55469","772","36828","436","23459","1481","31043","613","36061","734","45349","1042","61469","1593","(X)","(X)","261452","1547","21003","261","131508","1666","3.0","0.3","6.5","0.5","21.4","0.8","24.8","0.7","21.2","0.8","11.5","0.5","4.3","0.4","4.1","0.4","3.2","0.3","32293","300","39324","557","24795","329","13300","716","19372","581","22861","572","31815","512","44713","1365","(X)","(X)"
"0400000US31","Nebraska","1070908","2687","29063","281","680827","3164","2.2","0.1","3.9","0.1","14.7","0.3","20.0","0.3","23.3","0.3","14.8","0.2","5.5","0.1","7.7","0.2","7.9","0.2","(X)","(X)","51369","292","34236","258","21898","439","27605","372","32210","257","43503","508","57245","941","15.0","(X)","562374","1635","34967","290","393373","2195","1.9","0.1","3.0","0.2","11.1","0.3","17.7","0.4","22.9","0.4","16.3","0.3","6.5","0.2","9.6","0.3","11.0","0.3","44773","331","58545","442","40929","240","24913","633","34217","478","40290","352","53756","769","71030","1366","(X)","(X)","508534","2243","23440","294","287454","2382","2.6","0.2","5.3","0.3","19.7","0.5","23.1","0.5","23.9","0.4","12.8","0.4","4.0","0.2","5.1","0.2","3.6","0.2","34680","288","41548","370","27753","371","17011","946","21373","289","25996","258","36528","491","51288","631","(X)","(X)"
"0400000US32","Nevada","1404602","4532","30415","181","866095","4930","1.9","0.1","3.6","0.2","14.8","0.3","20.1","0.4","21.6","0.3","13.9","0.3","6.3","0.2","8.9","0.2","9.0","0.2","(X)","(X)","53387","408","33609","256","23317","448","29485","481","34660","413","45897","624","62999","1294","20.0","(X)","754998","2950","33521","284","489856","3672","1.7","0.1","3.2","0.2","12.9","0.4","17.8","0.4","20.3","0.5","14.6","0.4","7.0","0.3","10.5","0.3","12.0","0.3","44574","389","59433","592","37478","345","25643","463","32646","518","40168","493","52713","1009","75254","2313","(X)","(X)","649604","3517","26640","211","376239","3388","2.1","0.2","4.1","0.3","17.2","0.5","23.1","0.6","23.3","0.5","12.9","0.4","5.3","0.3","6.8","0.3","5.2","0.3","36639","308","45516","453","30301","240","20359","504","25965","355","30265","404","40695","622","55664","1068","(X)","(X)"
"0400000US33","New Hampshire","771950","3107","35009","292","471389","2846","1.4","0.1","2.0","0.1","9.4","0.3","15.4","0.4","21.8","0.4","16.9","0.4","7.4","0.3","11.1","0.3","14.6","0.3","(X)","(X)","63959","588","41030","327","25306","1152","33089","491","37804","466","51592","563","65871","1292","15.7","(X)","401736","1831","41976","414","272118","1633","1.2","0.2","1.8","0.2","7.2","0.4","12.1","0.4","20.2","0.5","17.2","0.4","7.7","0.3","12.7","0.4","19.9","0.4","55237","502","72984","874","49174","670","29507","1325","39211","727","46808","782","67575","1391","87882","2363","(X)","(X)","370214","2177","28723","420","199271","2052","1.6","0.2","2.4","0.2","12.3","0.5","20.0","0.7","24.0","0.6","16.6","0.5","7.0","0.4","8.9","0.4","7.3","0.4","42737","485","51635","644","33765","384","19463","1324","26204","446","31233","415","41181","813","54552","1274","(X)","(X)"
