"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M200US10100","Aberdeen, SD Micro Area","141600","4852"
"310M200US10140","Aberdeen, WA Micro Area","158300","4197"
"310M200US10180","Abilene, TX Metro Area","94000","2341"
"310M200US10220","Ada, OK Micro Area","107800","5756"
"310M200US10260","Adjuntas, PR Micro Area","103000","9404"
"310M200US10300","Adrian, MI Micro Area","114900","2348"
"310M200US10380","Aguadilla-Isabela, PR Metro Area","107000","1932"
"310M200US10420","Akron, OH Metro Area","137900","1141"
"310M200US10460","Alamogordo, NM Micro Area","101800","6022"
"310M200US10500","Albany, GA Metro Area","106100","2775"
"310M200US10540","Albany, OR Metro Area","170300","3338"
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","197400","1408"
"310M200US10620","Albemarle, NC Micro Area","128200","4486"
"310M200US10660","Albert Lea, MN Micro Area","104800","3881"
"310M200US10700","Albertville, AL Micro Area","115500","3833"
"310M200US10740","Albuquerque, NM Metro Area","177100","1864"
"310M200US10780","Alexandria, LA Metro Area","120100","3086"
"310M200US10820","Alexandria, MN Micro Area","188400","5161"
"310M200US10860","Alice, TX Micro Area","70100","6282"
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","199800","1498"
"310M200US10940","Alma, MI Micro Area","88900","1677"
"310M200US10980","Alpena, MI Micro Area","93300","3969"
"310M200US11020","Altoona, PA Metro Area","110600","2812"
"310M200US11060","Altus, OK Micro Area","90300","7446"
"310M200US11100","Amarillo, TX Metro Area","122200","2044"
"310M200US11140","Americus, GA Micro Area","85800","4422"
"310M200US11180","Ames, IA Metro Area","166000","3066"
"310M200US11220","Amsterdam, NY Micro Area","101600","3917"
"310M200US11260","Anchorage, AK Metro Area","272300","2614"
"310M200US11380","Andrews, TX Micro Area","111600","10205"
"310M200US11420","Angola, IN Micro Area","128800","5402"
"310M200US11460","Ann Arbor, MI Metro Area","208200","2920"
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","105900","3221"
"310M200US11540","Appleton, WI Metro Area","158100","1516"
"310M200US11580","Arcadia, FL Micro Area","80400","3638"
"310M200US11620","Ardmore, OK Micro Area","97000","4238"
"310M200US11640","Arecibo, PR Metro Area","106800","2549"
"310M200US11660","Arkadelphia, AR Micro Area","87200","5837"
"310M200US11680","Arkansas City-Winfield, KS Micro Area","83200","2741"
"310M200US11700","Asheville, NC Metro Area","182500","2642"
"310M200US11740","Ashland, OH Micro Area","120800","3599"
"310M200US11780","Ashtabula, OH Micro Area","106000","3002"
"310M200US11820","Astoria, OR Micro Area","246500","7295"
"310M200US11860","Atchison, KS Micro Area","88100","7414"
"310M200US11900","Athens, OH Micro Area","117700","4611"
"310M200US11940","Athens, TN Micro Area","113200","6326"
"310M200US11980","Athens, TX Micro Area","91500","3798"
"310M200US12020","Athens-Clarke County, GA Metro Area","157800","3035"
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","168100","727"
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","225600","3238"
"310M200US12140","Auburn, IN Micro Area","110100","4270"
"310M200US12180","Auburn, NY Micro Area","113600","2471"
"310M200US12220","Auburn-Opelika, AL Metro Area","154300","3405"
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","128200","1778"
"310M200US12300","Augusta-Waterville, ME Micro Area","150600","2543"
"310M200US12380","Austin, MN Micro Area","111700","3817"
"310M200US12420","Austin-Round Rock, TX Metro Area","208700","1369"
"310M200US12460","Bainbridge, GA Micro Area","114400","10928"
"310M200US12540","Bakersfield, CA Metro Area","167400","1619"
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","277500","1111"
"310M200US12620","Bangor, ME Metro Area","137400","2809"
"310M200US12660","Baraboo, WI Micro Area","166700","3358"
"310M200US12680","Bardstown, KY Micro Area","133600","5685"
"310M200US12700","Barnstable Town, MA Metro Area","363500","3805"
"310M200US12740","Barre, VT Micro Area","211200","5329"
"310M200US12780","Bartlesville, OK Micro Area","111300","3358"
"310M200US12820","Bastrop, LA Micro Area","80600","4411"
"310M200US12860","Batavia, NY Micro Area","107000","2437"
"310M200US12900","Batesville, AR Micro Area","96000","6356"
"310M200US12940","Baton Rouge, LA Metro Area","161800","1129"
"310M200US12980","Battle Creek, MI Metro Area","96000","2401"
"310M200US13020","Bay City, MI Metro Area","92800","2164"
"310M200US13060","Bay City, TX Micro Area","93700","8889"
"310M200US13100","Beatrice, NE Micro Area","108300","5437"
