"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M400US10100","Aberdeen, SD Micro Area","155200","4819"
"310M400US10140","Aberdeen, WA Micro Area","168500","5185"
"310M400US10180","Abilene, TX Metro Area","110100","3327"
"310M400US10220","Ada, OK Micro Area","125700","6343"
"310M400US10260","Adjuntas, PR Micro Area","85200","5870"
"310M400US10300","Adrian, MI Micro Area","133300","3049"
"310M400US10380","Aguadilla-Isabela, PR Metro Area","98600","1600"
"310M400US10420","Akron, OH Metro Area","144900","1519"
"310M400US10460","Alamogordo, NM Micro Area","108300","5105"
"310M400US10500","Albany, GA Metro Area","114700","3381"
"310M400US10540","Albany, OR Metro Area","200900","5848"
"310M400US10580","Albany-Schenectady-Troy, NY Metro Area","208200","1739"
"310M400US10620","Albemarle, NC Micro Area","134100","5162"
"310M400US10660","Albert Lea, MN Micro Area","111400","3421"
"310M400US10700","Albertville, AL Micro Area","122500","4035"
"310M400US10740","Albuquerque, NM Metro Area","186300","1306"
"310M400US10760","Alexander City, AL Micro Area","107800","5726"
"310M400US10780","Alexandria, LA Metro Area","133100","4268"
"310M400US10820","Alexandria, MN Micro Area","209800","6703"
"310M400US10860","Alice, TX Micro Area","76300","7273"
"310M400US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","207200","1733"
"310M400US10940","Alma, MI Micro Area","94300","2579"
"310M400US10980","Alpena, MI Micro Area","95600","2760"
"310M400US11020","Altoona, PA Metro Area","120300","2363"
"310M400US11060","Altus, OK Micro Area","99000","8861"
"310M400US11100","Amarillo, TX Metro Area","135500","2220"
"310M400US11140","Americus, GA Micro Area","93300","7722"
"310M400US11180","Ames, IA Metro Area","180400","5616"
"310M400US11220","Amsterdam, NY Micro Area","101000","4581"
"310M400US11260","Anchorage, AK Metro Area","288400","2398"
"310M400US11380","Andrews, TX Micro Area","135600","17249"
"310M400US11420","Angola, IN Micro Area","140600","5589"
"310M400US11460","Ann Arbor, MI Metro Area","246000","2841"
"310M400US11500","Anniston-Oxford-Jacksonville, AL Metro Area","113800","3386"
"310M400US11540","Appleton, WI Metro Area","165700","1496"
"310M400US11580","Arcadia, FL Micro Area","84400","3899"
"310M400US11620","Ardmore, OK Micro Area","112400","4515"
"310M400US11640","Arecibo, PR Metro Area","98100","1455"
"310M400US11660","Arkadelphia, AR Micro Area","100900","8085"
"310M400US11680","Arkansas City-Winfield, KS Micro Area","87300","2808"
"310M400US11700","Asheville, NC Metro Area","208600","2671"
"310M400US11740","Ashland, OH Micro Area","124900","4353"
"310M400US11780","Ashtabula, OH Micro Area","108300","3118"
"310M400US11820","Astoria, OR Micro Area","268100","7986"
"310M400US11860","Atchison, KS Micro Area","101600","10960"
"310M400US11900","Athens, OH Micro Area","122000","6373"
"310M400US11940","Athens, TN Micro Area","125300","6973"
"310M400US11980","Athens, TX Micro Area","102500","4814"
"310M400US12020","Athens-Clarke County, GA Metro Area","170200","3361"
"310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","199200","1051"
"310M400US12100","Atlantic City-Hammonton, NJ Metro Area","218300","2978"
"310M400US12120","Atmore, AL Micro Area","98200","4233"
"310M400US12140","Auburn, IN Micro Area","118100","4821"
"310M400US12180","Auburn, NY Micro Area","123000","2809"
"310M400US12220","Auburn-Opelika, AL Metro Area","165000","4054"
"310M400US12260","Augusta-Richmond County, GA-SC Metro Area","139600","2232"
"310M400US12300","Augusta-Waterville, ME Micro Area","155000","2398"
"310M400US12380","Austin, MN Micro Area","120500","5659"
"310M400US12420","Austin-Round Rock, TX Metro Area","261400","1898"
"310M400US12460","Bainbridge, GA Micro Area","109700","10598"
"310M400US12540","Bakersfield, CA Metro Area","205200","2255"
"310M400US12580","Baltimore-Columbia-Towson, MD Metro Area","292500","1292"
"310M400US12620","Bangor, ME Metro Area","140800","2512"
"310M400US12660","Baraboo, WI Micro Area","174500","3315"
"310M400US12680","Bardstown, KY Micro Area","149500","4605"
"310M400US12700","Barnstable Town, MA Metro Area","384100","2941"
"310M400US12740","Barre, VT Micro Area","222600","6064"
"310M400US12780","Bartlesville, OK Micro Area","117100","3417"
"310M400US12820","Bastrop, LA Micro Area","90900","6252"
"310M400US12860","Batavia, NY Micro Area","117600","3260"
"310M400US12900","Batesville, AR Micro Area","105200","7426"
"310M400US12940","Baton Rouge, LA Metro Area","173700","1589"
"310M400US12980","Battle Creek, MI Metro Area","105300","2186"
"310M400US13020","Bay City, MI Metro Area","100500","2359"
"310M400US13060","Bay City, TX Micro Area","107500","8163"
"310M400US13100","Beatrice, NE Micro Area","115500","5747"
"310M400US13140","Beaumont-Port Arthur, TX Metro Area","108100","2512"
"310M400US13180","Beaver Dam, WI Micro Area","159100","2125"
"310M400US13220","Beckley, WV Metro Area","99200","3799"
"310M400US13260","Bedford, IN Micro Area","115700","4112"
"310M400US13300","Beeville, TX Micro Area","88200","6595"
"310M400US13340","Bellefontaine, OH Micro Area","129100","5226"
"310M400US13380","Bellingham, WA Metro Area","318400","5571"
