"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M200US10100","Aberdeen, SD Micro Area","131100","4841"
"310M200US10140","Aberdeen, WA Micro Area","157600","3728"
"310M200US10180","Abilene, TX Metro Area","89000","2139"
"310M200US10220","Ada, OK Micro Area","99100","4278"
"310M200US10260","Adjuntas, PR Micro Area","104600","8163"
"310M200US10300","Adrian, MI Micro Area","116900","2509"
"310M200US10380","Aguadilla-Isabela, PR Metro Area","105800","1894"
"310M200US10420","Akron, OH Metro Area","139100","1221"
"310M200US10460","Alamogordo, NM Micro Area","102400","6100"
"310M200US10500","Albany, GA Metro Area","106300","2818"
"310M200US10540","Albany, OR Metro Area","173600","3291"
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","197500","1281"
"310M200US10620","Albemarle, NC Micro Area","125100","5678"
"310M200US10660","Albert Lea, MN Micro Area","104000","3549"
"310M200US10700","Albertville, AL Micro Area","114000","3874"
"310M200US10740","Albuquerque, NM Metro Area","179100","1683"
"310M200US10780","Alexandria, LA Metro Area","114300","3097"
"310M200US10820","Alexandria, MN Micro Area","187300","4579"
"310M200US10860","Alice, TX Micro Area","69000","3339"
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","207000","1657"
"310M200US10940","Alma, MI Micro Area","86600","1628"
"310M200US10980","Alpena, MI Micro Area","96400","5181"
"310M200US11020","Altoona, PA Metro Area","106500","2434"
"310M200US11060","Altus, OK Micro Area","87400","3053"
"310M200US11100","Amarillo, TX Metro Area","116800","1987"
"310M200US11140","Americus, GA Micro Area","90700","4685"
"310M200US11180","Ames, IA Metro Area","162200","2957"
"310M200US11220","Amsterdam, NY Micro Area","101200","3655"
"310M200US11260","Anchorage, AK Metro Area","264300","2121"
"310M200US11380","Andrews, TX Micro Area","88600","9516"
"310M200US11420","Angola, IN Micro Area","123000","4820"
"310M200US11460","Ann Arbor, MI Metro Area","198400","2730"
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","100600","3608"
"310M200US11540","Appleton, WI Metro Area","157800","1836"
"310M200US11580","Arcadia, FL Micro Area","89900","8997"
"310M200US11620","Ardmore, OK Micro Area","90600","4412"
"310M200US11640","Arecibo, PR Metro Area","104800","3015"
"310M200US11660","Arkadelphia, AR Micro Area","86600","5931"
"310M200US11680","Arkansas City-Winfield, KS Micro Area","80600","2875"
"310M200US11700","Asheville, NC Metro Area","182100","2712"
"310M200US11740","Ashland, OH Micro Area","122100","3213"
"310M200US11780","Ashtabula, OH Micro Area","110800","2643"
"310M200US11820","Astoria, OR Micro Area","256500","9648"
"310M200US11860","Atchison, KS Micro Area","87000","5561"
"310M200US11900","Athens, OH Micro Area","115500","4867"
"310M200US11940","Athens, TN Micro Area","119000","5989"
"310M200US11980","Athens, TX Micro Area","87800","2875"
"310M200US12020","Athens-Clarke County, GA Metro Area","163100","2240"
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","170400","698"
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","237400","2858"
"310M200US12140","Auburn, IN Micro Area","107800","4856"
"310M200US12180","Auburn, NY Micro Area","106600","2801"
"310M200US12220","Auburn-Opelika, AL Metro Area","146900","4872"
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","124700","1763"
"310M200US12300","Augusta-Waterville, ME Micro Area","152800","2525"
"310M200US12380","Austin, MN Micro Area","106000","4087"
"310M200US12420","Austin-Round Rock, TX Metro Area","192000","1286"
"310M200US12460","Bainbridge, GA Micro Area","102900","10934"
"310M200US12540","Bakersfield, CA Metro Area","161700","1699"
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","281400","1044"
"310M200US12620","Bangor, ME Metro Area","137700","2729"
"310M200US12660","Baraboo, WI Micro Area","168800","3458"
"310M200US12680","Bardstown, KY Micro Area","124500","6539"
"310M200US12700","Barnstable Town, MA Metro Area","366700","3489"
"310M200US12740","Barre, VT Micro Area","205000","5395"
"310M200US12780","Bartlesville, OK Micro Area","111000","3126"
"310M200US12820","Bastrop, LA Micro Area","74600","4276"
"310M200US12860","Batavia, NY Micro Area","105000","2601"
"310M200US12900","Batesville, AR Micro Area","88900","3708"
"310M200US12940","Baton Rouge, LA Metro Area","158100","1354"
"310M200US12980","Battle Creek, MI Metro Area","98300","1788"
"310M200US13020","Bay City, MI Metro Area","93800","1869"
"310M200US13060","Bay City, TX Micro Area","92000","7099"
"310M200US13100","Beatrice, NE Micro Area","101600","5067"
"310M200US13140","Beaumont-Port Arthur, TX Metro Area","95200","1430"
"310M200US13180","Beaver Dam, WI Micro Area","154000","2272"
"310M200US13220","Beckley, WV Metro Area","84100","2046"
"310M200US13260","Bedford, IN Micro Area","98200","3856"
"310M200US13300","Beeville, TX Micro Area","73000","4598"
"310M200US13340","Bellefontaine, OH Micro Area","118600","4915"
"310M200US13380","Bellingham, WA Metro Area","277000","4504"
"310M200US13420","Bemidji, MN Micro Area","147100","6086"
"310M200US13460","Bend-Redmond, OR Metro Area","249500","7711"
"310M200US13500","Bennettsville, SC Micro Area","58200","2768"
"310M200US13540","Bennington, VT Micro Area","214800","9340"
"310M200US13620","Berlin, NH-VT Micro Area","127000","5216"
"310M200US13660","Big Rapids, MI Micro Area","112200","3527"
"310M200US13700","Big Spring, TX Micro Area","67400","3949"
"310M200US13720","Big Stone Gap, VA Micro Area","82000","3023"
"310M200US13740","Billings, MT Metro Area","182000","2330"
"310M200US13780","Binghamton, NY Metro Area","108000","1736"
"310M200US13820","Birmingham-Hoover, AL Metro Area","143400","1415"
"310M200US13900","Bismarck, ND Metro Area","164000","2122"
"310M200US13940","Blackfoot, ID Micro Area","135400","6056"
"310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","158200","3225"
"310M200US14010","Bloomington, IL Metro Area","152800","2145"
"310M200US14020","Bloomington, IN Metro Area","147500","3413"
"310M200US14100","Bloomsburg-Berwick, PA Metro Area","139700","3206"
"310M200US14140","Bluefield, WV-VA Micro Area","83200","2450"
"310M200US14180","Blytheville, AR Micro Area","75300","2970"
"310M200US14220","Bogalusa, LA Micro Area","81900","5062"
"310M200US14260","Boise City, ID Metro Area","166300","1441"
"310M200US14340","Boone, IA Micro Area","117300","4042"
"310M200US14380","Boone, NC Micro Area","228700","10327"
"310M200US14420","Borger, TX Micro Area","63300","4792"
"310M200US14460","Boston-Cambridge-Newton, MA-NH Metro Area","362400","843"
"310M200US14500","Boulder, CO Metro Area","350900","4498"
"310M200US14540","Bowling Green, KY Metro Area","123700","2463"
"310M200US14580","Bozeman, MT Micro Area","261900","6013"
"310M200US14620","Bradford, PA Micro Area","72700","2595"
"310M200US14660","Brainerd, MN Micro Area","179500","4304"
"310M200US14700","Branson, MO Micro Area","134500","5868"
"310M200US14720","Breckenridge, CO Micro Area","460000","27991"
"310M200US14740","Bremerton-Silverdale, WA Metro Area","268200","3921"
"310M200US14780","Brenham, TX Micro Area","147800","12166"
"310M200US14820","Brevard, NC Micro Area","171600","9086"
"310M200US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","432100","3744"
"310M200US15020","Brookhaven, MS Micro Area","84900","4254"
"310M200US15060","Brookings, OR Micro Area","230100","14583"
"310M200US15100","Brookings, SD Micro Area","147400","5603"
"310M200US15180","Brownsville-Harlingen, TX Metro Area","78300","1353"
"310M200US15220","Brownwood, TX Micro Area","87600","3119"
"310M200US15260","Brunswick, GA Metro Area","134000","7277"
"310M200US15340","Bucyrus, OH Micro Area","87300","1952"
"310M200US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","120700","819"
"310M200US15420","Burley, ID Micro Area","116000","3628"
"310M200US15460","Burlington, IA-IL Micro Area","92300","2493"
"310M200US15500","Burlington, NC Metro Area","137000","3113"
"310M200US15540","Burlington-South Burlington, VT Metro Area","249900","2772"
"310M200US15580","Butte-Silver Bow, MT Micro Area","121900","6159"
"310M200US15620","Cadillac, MI Micro Area","99900","2810"
"310M200US15660","Calhoun, GA Micro Area","116100","3724"
"310M200US15680","California-Lexington Park, MD Metro Area","304700","7069"
"310M200US15700","Cambridge, MD Micro Area","191100","6761"
"310M200US15740","Cambridge, OH Micro Area","94000","3872"
"310M200US15780","Camden, AR Micro Area","66900","4963"
"310M200US15820","Campbellsville, KY Micro Area","96800","5408"
"310M200US15860","Cañon City, CO Micro Area","159500","4443"
"310M200US15900","Canton, IL Micro Area","80600","2354"
"310M200US15940","Canton-Massillon, OH Metro Area","121500","1097"
"310M200US15980","Cape Coral-Fort Myers, FL Metro Area","149400","2691"
"310M200US16020","Cape Girardeau, MO-IL Metro Area","123000","2928"
"310M200US16060","Carbondale-Marion, IL Metro Area","96100","2807"
"310M200US16100","Carlsbad-Artesia, NM Micro Area","110400","5503"
"310M200US16180","Carson City, NV Metro Area","198900","9524"
"310M200US16220","Casper, WY Metro Area","178300","3925"
"310M200US16260","Cedar City, UT Micro Area","168300","6258"
"310M200US16300","Cedar Rapids, IA Metro Area","142100","1358"
"310M200US16340","Cedartown, GA Micro Area","107900","6214"
"310M200US16380","Celina, OH Micro Area","124200","3557"
"310M200US16460","Centralia, IL Micro Area","70300","2305"
"310M200US16500","Centralia, WA Micro Area","180200","5587"
"310M200US16540","Chambersburg-Waynesboro, PA Metro Area","177500","2674"
"310M200US16580","Champaign-Urbana, IL Metro Area","142400","2299"
"310M200US16620","Charleston, WV Metro Area","98400","2069"
"310M200US16660","Charleston-Mattoon, IL Micro Area","89100","2088"
"310M200US16700","Charleston-North Charleston, SC Metro Area","186900","2012"
"310M200US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","164800","838"
"310M200US16820","Charlottesville, VA Metro Area","262800","4436"
"310M200US16860","Chattanooga, TN-GA Metro Area","141300","1633"
"310M200US16940","Cheyenne, WY Metro Area","181700","3735"
"310M200US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","225000","557"
