Source: https://dqydj.com/historical-home-prices/
United States Median Home Price History
Month of Observation	Median Home Price (NSA)	Inflation Adjusted Price
8/1/13	$194,311.15	$223,521.57
9/1/13	$194,253.48	$223,371.04
10/1/13	$193,724.86	$222,644.02
11/1/13	$193,215.46	$221,649.75
12/1/13	$192,946.35	$220,757.31
1/1/14	$192,581.12	$219,806.58
2/1/14	$193,561.47	$220,682.61
3/1/14	$195,945.06	$222,944.92
4/1/14	$198,069.16	$224,942.36
5/1/14	$200,289.36	$227,031.75
6/1/14	$202,634.51	$229,386.97
7/1/14	$203,288.08	$229,868.11
8/1/14	$202,951.68	$229,524.46
9/1/14	$202,096.28	$228,540.69
10/1/14	$202,134.72	$228,629.42
11/1/14	$202,384.62	$229,343.84
12/1/14	$202,432.67	$230,108.09
1/1/15	$201,548.44	$230,571.78
2/1/15	$203,432.25	$232,138.48
3/1/15	$206,017.68	$234,457.12
4/1/15	$208,112.94	$236,594.97
5/1/15	$211,217.38	$239,335.02
6/1/15	$213,178.08	$240,889.97
7/1/15	$214,043.09	$241,484.36
8/1/15	$213,322.25	$240,672.11
9/1/15	$213,399.14	$241,301.20
10/1/15	$213,312.64	$240,964.96
11/1/15	$213,735.53	$241,154.59
12/1/15	$213,322.25	$240,947.44
1/1/16	$213,293.41	$241,025.36
2/1/16	$214,033.48	$242,183.68
3/1/16	$217,801.10	$245,676.68
4/1/16	$220,107.81	$247,331.17
5/1/16	$222,798.97	$249,764.71
6/1/16	$224,971.11	$251,501.60
7/1/16	$225,980.30	$252,757.11
8/1/16	$225,922.63	$252,226.19
9/1/16	$226,095.63	$251,758.92
10/1/16	$226,057.19	$251,127.79
11/1/16	$226,547.36	$251,375.97
12/1/16	$226,576.20	$250,774.88
1/1/17	$225,615.07	$248,703.52
2/1/17	$227,585.38	$250,616.23
3/1/17	$231,266.50	$254,780.61
4/1/17	$234,390.16	$257,684.87
5/1/17	$237,062.10	$260,841.25
6/1/17	$238,753.68	$262,542.24
7/1/17	$239,849.37	$263,680.15
8/1/17	$240,599.05	$263,506.51
9/1/17	$240,377.99	$261,827.16
10/1/17	$240,368.38	$261,704.18
11/1/17	$241,185.33	$261,828.31
12/1/17	$240,858.55	$261,095.70
1/1/18	$241,896.57	$261,182.47
2/1/18	$244,501.22	$263,381.66
3/1/18	$247,230.83	$266,090.43
4/1/18	$249,364.53	$267,574.04
5/1/18	$252,382.47	$270,260.56
6/1/18	$253,977.94	$271,572.71
7/1/18	$254,756.46	$272,195.99
8/1/18	$255,285.08	$272,338.22
9/1/18	$254,583.45	$271,107.25
10/1/18	$254,429.67	$270,176.41
11/1/18	$255,083.24	$270,952.92
12/1/18	$254,458.51	$270,641.51
1/1/19	$254,996.74	$271,269.84
2/1/19	$256,870.94	$272,693.28
3/1/19	$259,600.54	$274,313.62
4/1/19	$262,551.20	$276,150.44
5/1/19	$265,348.08	$279,043.01
6/1/19	$266,453.38	$280,148.31
7/1/19	$267,597.12	$280,798.96
8/1/19	$267,376.06	$280,355.57
9/1/19	$268,308.35	$280,879.10
10/1/19	$268,414.08	$280,056.37
11/1/19	$268,721.64	$279,723.03
12/1/19	$269,538.60	$280,340.89
1/1/20	$270,317.11	$280,624.58
2/1/20	$273,440.77	$283,717.09
3/1/20	$276,112.71	$287,416.69
4/1/20	$278,246.41	$291,669.34
5/1/20	$279,226.76	$292,982.89
6/1/20	$282,600.32	$294,978.27
7/1/20	$285,800.87	$296,793.98
8/1/20	$289,799.16	$299,894.24
9/1/20	$293,518.73	$302,998.47
10/1/20	$296,575.11	$305,785.65
11/1/20	$298,833.76	$307,565.36
12/1/20	$300,717.57	$308,755.18
1/1/21	$303,245.34	$310,553.82
2/1/21	$307,714.58	$314,017.12
3/1/21	$314,836.54	$319,304.76
4/1/21	$322,342.94	$324,419.56
5/1/21	$329,522.56	$329,522.56
