"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M200US10100","Aberdeen, SD Micro Area","136000","4456"
"310M200US10140","Aberdeen, WA Micro Area","158500","3832"
"310M200US10180","Abilene, TX Metro Area","91900","2825"
"310M200US10220","Ada, OK Micro Area","102000","5832"
"310M200US10260","Adjuntas, PR Micro Area","103500","8686"
"310M200US10300","Adrian, MI Micro Area","113900","2441"
"310M200US10380","Aguadilla-Isabela, PR Metro Area","106700","1740"
"310M200US10420","Akron, OH Metro Area","137600","1287"
"310M200US10460","Alamogordo, NM Micro Area","101400","6837"
"310M200US10500","Albany, GA Metro Area","103900","3522"
"310M200US10540","Albany, OR Metro Area","171700","2939"
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","196800","1296"
"310M200US10620","Albemarle, NC Micro Area","128000","5617"
"310M200US10660","Albert Lea, MN Micro Area","102700","4039"
"310M200US10700","Albertville, AL Micro Area","114600","3900"
"310M200US10740","Albuquerque, NM Metro Area","177100","1541"
"310M200US10780","Alexandria, LA Metro Area","115900","3715"
"310M200US10820","Alexandria, MN Micro Area","189800","5369"
"310M200US10860","Alice, TX Micro Area","67400","3862"
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","202900","1561"
"310M200US10940","Alma, MI Micro Area","87300","1610"
"310M200US10980","Alpena, MI Micro Area","94900","4464"
"310M200US11020","Altoona, PA Metro Area","108500","2554"
"310M200US11060","Altus, OK Micro Area","88100","3468"
"310M200US11100","Amarillo, TX Metro Area","118500","1727"
"310M200US11140","Americus, GA Micro Area","86000","3913"
"310M200US11180","Ames, IA Metro Area","164200","2814"
"310M200US11220","Amsterdam, NY Micro Area","101100","3565"
"310M200US11260","Anchorage, AK Metro Area","268200","2435"
"310M200US11380","Andrews, TX Micro Area","95500","11105"
"310M200US11420","Angola, IN Micro Area","124300","5167"
"310M200US11460","Ann Arbor, MI Metro Area","199200","2541"
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","103300","3506"
"310M200US11540","Appleton, WI Metro Area","158400","1557"
"310M200US11580","Arcadia, FL Micro Area","83800","3906"
"310M200US11620","Ardmore, OK Micro Area","94600","3867"
"310M200US11640","Arecibo, PR Metro Area","107500","2780"
"310M200US11660","Arkadelphia, AR Micro Area","84300","5092"
"310M200US11680","Arkansas City-Winfield, KS Micro Area","79900","2967"
"310M200US11700","Asheville, NC Metro Area","179700","2852"
"310M200US11740","Ashland, OH Micro Area","119900","3124"
"310M200US11780","Ashtabula, OH Micro Area","107300","3056"
"310M200US11820","Astoria, OR Micro Area","248300","7974"
"310M200US11860","Atchison, KS Micro Area","85800","4314"
"310M200US11900","Athens, OH Micro Area","113900","4876"
"310M200US11940","Athens, TN Micro Area","116200","7235"
"310M200US11980","Athens, TX Micro Area","88100","3464"
"310M200US12020","Athens-Clarke County, GA Metro Area","158600","2767"
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","167400","682"
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","230200","3257"
"310M200US12140","Auburn, IN Micro Area","108400","4530"
"310M200US12180","Auburn, NY Micro Area","109000","2404"
"310M200US12220","Auburn-Opelika, AL Metro Area","150100","4121"
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","125900","2110"
"310M200US12300","Augusta-Waterville, ME Micro Area","151400","2717"
"310M200US12380","Austin, MN Micro Area","108300","3942"
"310M200US12420","Austin-Round Rock, TX Metro Area","196500","1493"
"310M200US12460","Bainbridge, GA Micro Area","99800","7869"
"310M200US12540","Bakersfield, CA Metro Area","161800","1782"
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","277600","1111"
"310M200US12620","Bangor, ME Metro Area","137700","2591"
"310M200US12660","Baraboo, WI Micro Area","168200","3043"
"310M200US12680","Bardstown, KY Micro Area","125200","6397"
"310M200US12700","Barnstable Town, MA Metro Area","362800","3330"
"310M200US12740","Barre, VT Micro Area","207100","4525"
"310M200US12780","Bartlesville, OK Micro Area","109900","2926"
"310M200US12820","Bastrop, LA Micro Area","77400","3997"
"310M200US12860","Batavia, NY Micro Area","105200","2495"
"310M200US12900","Batesville, AR Micro Area","91300","5171"
"310M200US12940","Baton Rouge, LA Metro Area","158600","1370"
"310M200US12980","Battle Creek, MI Metro Area","97100","1873"
