"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M100US14260","Boise City-Nampa, ID Metro Area","184300","1673"
"310M100US14300","Bonham, TX Micro Area","84800","3977"
"310M100US14340","Boone, IA Micro Area","116300","4674"
"310M100US14380","Boone, NC Micro Area","234300","12437"
"310M100US14420","Borger, TX Micro Area","64600","4974"
"310M100US14460","Boston-Cambridge-Quincy, MA-NH Metro Area","373500","912"
"310M100US14500","Boulder, CO Metro Area","353000","3810"
"310M100US14540","Bowling Green, KY Metro Area","132600","2787"
"310M100US14580","Bozeman, MT Micro Area","276000","6204"
"310M100US14620","Bradford, PA Micro Area","73500","1999"
"310M100US14660","Brainerd, MN Micro Area","187900","3282"
"310M100US14700","Branson, MO Micro Area","137700","4682"
"310M100US14740","Bremerton-Silverdale, WA Metro Area","284300","3257"
"310M100US14780","Brenham, TX Micro Area","137700","9606"
"310M100US14820","Brevard, NC Micro Area","166300","6815"
"310M100US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","466700","3589"
"310M100US14940","Brigham City, UT Micro Area","167400","2687"
"310M100US15020","Brookhaven, MS Micro Area","80600","5400"
"310M100US15060","Brookings, OR Micro Area","254800","14798"
"310M100US15100","Brookings, SD Micro Area","138500","6085"
"310M100US15140","Brownsville, TN Micro Area","90300","5425"
"310M100US15180","Brownsville-Harlingen, TX Metro Area","76000","1194"
"310M100US15220","Brownwood, TX Micro Area","83300","4185"
"310M100US15260","Brunswick, GA Metro Area","147700","7324"
"310M100US15340","Bucyrus, OH Micro Area","92600","2396"
"310M100US15380","Buffalo-Niagara Falls, NY Metro Area","116800","751"
"310M100US15420","Burley, ID Micro Area","113400","3901"
"310M100US15460","Burlington, IA-IL Micro Area","91200","2811"
"310M100US15500","Burlington, NC Metro Area","136000","2522"
"310M100US15540","Burlington-South Burlington, VT Metro Area","246600","2532"
"310M100US15580","Butte-Silver Bow, MT Micro Area","120700","5799"
"310M100US15620","Cadillac, MI Micro Area","109500","2546"
"310M100US15660","Calhoun, GA Micro Area","124500","4944"
"310M100US15700","Cambridge, MD Micro Area","202000","8820"
"310M100US15740","Cambridge, OH Micro Area","92300","3750"
"310M100US15780","Camden, AR Micro Area","60400","3256"
"310M100US15820","Campbellsville, KY Micro Area","94800","5162"
"310M100US15860","Cañon City, CO Micro Area","158200","5082"
"310M100US15900","Canton, IL Micro Area","80800","2771"
"310M100US15940","Canton-Massillon, OH Metro Area","125500","1168"
"310M100US15980","Cape Coral-Fort Myers, FL Metro Area","181000","2525"
"310M100US16020","Cape Girardeau-Jackson, MO-IL Metro Area","122200","3421"
"310M100US16060","Carbondale, IL Micro Area","95100","3897"
"310M100US16100","Carlsbad-Artesia, NM Micro Area","96200","6969"
"310M100US16180","Carson City, NV Metro Area","244600","8132"
"310M100US16220","Casper, WY Metro Area","177700","3344"
"310M100US16260","Cedar City, UT Micro Area","196400","6278"
"310M100US16300","Cedar Rapids, IA Metro Area","137100","1362"
"310M100US16340","Cedartown, GA Micro Area","109200","6212"
"310M100US16380","Celina, OH Micro Area","124600","3897"
"310M100US16420","Central City, KY Micro Area","77200","2907"
"310M100US16460","Centralia, IL Micro Area","71300","2617"
"310M100US16500","Centralia, WA Micro Area","192700","5581"
"310M100US16540","Chambersburg, PA Micro Area","177800","2940"
"310M100US16580","Champaign-Urbana, IL Metro Area","141000","1930"
"310M100US16620","Charleston, WV Metro Area","100900","2085"
"310M100US16660","Charleston-Mattoon, IL Micro Area","91000","2641"
"310M100US16700","Charleston-North Charleston-Summerville, SC Metro Area","192000","2408"
"310M100US16740","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","171400","992"
"310M100US16820","Charlottesville, VA Metro Area","283000","4710"
"310M100US16860","Chattanooga, TN-GA Metro Area","140000","1375"
"310M100US16900","Chester, SC Micro Area","84300","5420"
"310M100US16940","Cheyenne, WY Metro Area","174100","3349"
"310M100US16980","Chicago-Joliet-Naperville, IL-IN-WI Metro Area","245700","604"
"310M100US17020","Chico, CA Metro Area","254900","4635"
"310M100US17060","Chillicothe, OH Micro Area","114800","2797"
"310M100US17140","Cincinnati-Middletown, OH-KY-IN Metro Area","156400","712"
"310M100US17200","Claremont, NH Micro Area","182700","5582"
"310M100US17220","Clarksburg, WV Micro Area","89600","2716"
"310M100US17260","Clarksdale, MS Micro Area","56000","4760"
"310M100US17300","Clarksville, TN-KY Metro Area","124200","2311"
"310M100US17340","Clearlake, CA Micro Area","235900","12306"
"310M100US17380","Cleveland, MS Micro Area","81000","4027"
"310M100US17420","Cleveland, TN Metro Area","131900","4306"
"310M100US17460","Cleveland-Elyria-Mentor, OH Metro Area","148100","563"
"310M100US17500","Clewiston, FL Micro Area","103400","8093"
"310M100US17540","Clinton, IA Micro Area","109200","3475"
"310M100US17580","Clovis, NM Micro Area","104400","6325"
"310M100US17620","Coamo, PR Micro Area","86500","2181"
"310M100US17660","Coeur d'Alene, ID Metro Area","212300","4969"
"310M100US17700","Coffeyville, KS Micro Area","71200","3748"
"310M100US17740","Coldwater, MI Micro Area","109800","3438"
"310M100US17780","College Station-Bryan, TX Metro Area","135000","3548"
"310M100US17820","Colorado Springs, CO Metro Area","217600","1500"
"310M100US17860","Columbia, MO Metro Area","153500","2621"
"310M100US17900","Columbia, SC Metro Area","138300","1312"
"310M100US17940","Columbia, TN Micro Area","138200","3141"
"310M100US17980","Columbus, GA-AL Metro Area","131300","3077"
"310M100US18020","Columbus, IN Metro Area","135400","3662"
"310M100US18060","Columbus, MS Micro Area","110400","5203"
"310M100US18100","Columbus, NE Micro Area","109900","4549"
"310M100US18140","Columbus, OH Metro Area","163500","720"
"310M100US18180","Concord, NH Micro Area","241900","2917"
"310M100US18220","Connersville, IN Micro Area","84600","2463"
"310M100US18260","Cookeville, TN Micro Area","119000","3423"
"310M100US18300","Coos Bay, OR Micro Area","194500","8510"
"310M100US18340","Corbin, KY Micro Area","67600","4087"
"310M100US18380","Cordele, GA Micro Area","92100","8923"
"310M100US18420","Corinth, MS Micro Area","85500","4106"
"310M100US18460","Cornelia, GA Micro Area","146900","6840"
"310M100US18500","Corning, NY Micro Area","84200","1234"
"310M100US18580","Corpus Christi, TX Metro Area","106200","1663"
"310M100US18620","Corsicana, TX Micro Area","78900","3328"
"310M100US18660","Cortland, NY Micro Area","98400","1942"
"310M100US18700","Corvallis, OR Metro Area","268200","5593"
"310M100US18740","Coshocton, OH Micro Area","96400","3882"
"310M100US18820","Crawfordsville, IN Micro Area","109500","4327"
"310M100US18860","Crescent City, CA Micro Area","239800","18354"
"310M100US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","196800","3200"
"310M100US18900","Crossville, TN Micro Area","142600","5138"
"310M100US18940","Crowley, LA Micro Area","90900","4320"
"310M100US18980","Cullman, AL Micro Area","102300","3994"
"310M100US19020","Culpeper, VA Micro Area","285000","12172"
"310M100US19060","Cumberland, MD-WV Metro Area","120700","3267"
"310M100US19100","Dallas-Fort Worth-Arlington, TX Metro Area","148700","447"
"310M100US19140","Dalton, GA Metro Area","119700","2968"
"310M100US19180","Danville, IL Metro Area","76100","2531"
"310M100US19220","Danville, KY Micro Area","101200","4669"
"310M100US19260","Danville, VA Metro Area","98000","1874"
"310M100US19300","Daphne-Fairhope-Foley, AL Micro Area","175700","3794"
"310M100US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","122400","1213"
"310M100US19380","Dayton, OH Metro Area","127900","1043"
"310M100US19460","Decatur, AL Metro Area","112600","2870"
"310M100US19500","Decatur, IL Metro Area","92300","2278"
"310M100US19540","Decatur, IN Micro Area","114100","3808"
"310M100US19580","Defiance, OH Micro Area","110500","3302"
"310M100US19620","Del Rio, TX Micro Area","85100","4088"
"310M100US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","172100","1791"
"310M100US19700","Deming, NM Micro Area","91300","7496"
"310M100US19740","Denver-Aurora-Broomfield, CO Metro Area","246200","848"
"310M100US19760","DeRidder, LA Micro Area","84500","3720"
"310M100US19780","Des Moines-West Des Moines, IA Metro Area","153700","1313"
"310M100US19820","Detroit-Warren-Livonia, MI Metro Area","148500","590"
"310M100US19860","Dickinson, ND Micro Area","128500","6161"
"310M100US19900","Dillon, SC Micro Area","62000","4311"
"310M100US19940","Dixon, IL Micro Area","114700","4540"
"310M100US19980","Dodge City, KS Micro Area","85000","3810"
"310M100US20020","Dothan, AL Metro Area","107400","2674"
"310M100US20060","Douglas, GA Micro Area","77900","4461"
"310M100US20100","Dover, DE Metro Area","208300","3816"
"310M100US20140","Dublin, GA Micro Area","86700","3365"
"310M100US20180","DuBois, PA Micro Area","84400","2086"
"310M100US20220","Dubuque, IA Metro Area","140200","2766"
"310M100US20260","Duluth, MN-WI Metro Area","144000","1849"
"310M100US20300","Dumas, TX Micro Area","83400","6192"
"310M100US20340","Duncan, OK Micro Area","84300","2794"
"310M100US20380","Dunn, NC Micro Area","128500","4230"
"310M100US20420","Durango, CO Micro Area","342800","9441"
"310M100US20460","Durant, OK Micro Area","87100","3612"
"310M100US20500","Durham-Chapel Hill, NC Metro Area","190000","2659"
"310M100US20540","Dyersburg, TN Micro Area","93700","3090"
"310M100US20580","Eagle Pass, TX Micro Area","81900","4320"
"310M100US20620","East Liverpool-Salem, OH Micro Area","97700","2622"
"310M100US20660","Easton, MD Micro Area","352200","11145"
"310M100US20700","East Stroudsburg, PA Micro Area","205400","4792"
"310M100US20740","Eau Claire, WI Metro Area","148300","1855"
"310M100US20780","Edwards, CO Micro Area","473200","21814"
"310M100US20820","Effingham, IL Micro Area","108100","3333"
"310M100US20900","El Campo, TX Micro Area","87100","4983"
"310M100US20940","El Centro, CA Metro Area","169600","4018"
"310M100US20980","El Dorado, AR Micro Area","72300","3738"
"310M100US21020","Elizabeth City, NC Micro Area","179500","6930"
"310M100US21060","Elizabethtown, KY Metro Area","130300","4466"
"310M100US21120","Elk City, OK Micro Area","89200","6311"
"310M100US21140","Elkhart-Goshen, IN Metro Area","126600","2186"
"310M100US21220","Elko, NV Micro Area","177800","6277"
"310M100US21260","Ellensburg, WA Micro Area","265000","10885"
"310M100US21300","Elmira, NY Metro Area","89400","2237"
"310M100US21340","El Paso, TX Metro Area","108000","1076"
"310M100US21380","Emporia, KS Micro Area","91500","3727"
"310M100US21420","Enid, OK Micro Area","85500","3133"
"310M100US21460","Enterprise-Ozark, AL Micro Area","107600","4203"
"310M100US21500","Erie, PA Metro Area","113300","1470"
"310M100US21540","Escanaba, MI Micro Area","102900","4223"
"310M100US21580","Espanola, NM Micro Area","134300","12112"
"310M100US21640","Eufaula, AL-GA Micro Area","89000","6058"
"310M100US21660","Eugene-Springfield, OR Metro Area","230900","2003"
"310M100US21700","Eureka-Arcata-Fortuna, CA Micro Area","314400","6834"
"310M100US21740","Evanston, WY Micro Area","178300","8605"
"310M100US21780","Evansville, IN-KY Metro Area","114100","1720"
"310M100US21820","Fairbanks, AK Metro Area","212800","5194"
"310M100US21860","Fairmont, MN Micro Area","98800","4816"
"310M100US21900","Fairmont, WV Micro Area","87900","3114"
"310M100US21940","Fajardo, PR Metro Area","105300","2242"
"310M100US21980","Fallon, NV Micro Area","175300","7387"
"310M100US22020","Fargo, ND-MN Metro Area","150400","2045"
"310M100US22060","Faribault-Northfield, MN Micro Area","204200","4899"
"310M100US22100","Farmington, MO Micro Area","101100","4661"
"310M100US22140","Farmington, NM Metro Area","154200","4323"
"310M100US22180","Fayetteville, NC Metro Area","123800","1975"
"310M100US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","150800","1913"
"310M100US22260","Fergus Falls, MN Micro Area","161400","3329"
"310M100US22280","Fernley, NV Micro Area","166700","8968"
"310M100US22300","Findlay, OH Micro Area","130300","4480"
"310M100US22340","Fitzgerald, GA Micro Area","78000","3593"
"310M100US22380","Flagstaff, AZ Metro Area","246600","7576"
"310M100US22420","Flint, MI Metro Area","109000","1379"
"310M100US22500","Florence, SC Metro Area","99900","2739"
"310M100US22520","Florence-Muscle Shoals, AL Metro Area","104200","2952"
"310M100US22540","Fond du Lac, WI Metro Area","145200","2556"
"310M100US22580","Forest City, NC Micro Area","104400","5078"
"310M100US22620","Forrest City, AR Micro Area","66400","3773"
"310M100US22660","Fort Collins-Loveland, CO Metro Area","244600","2288"
"310M100US22700","Fort Dodge, IA Micro Area","86000","2747"
"310M100US22780","Fort Leonard Wood, MO Micro Area","122600","6678"
"310M100US22800","Fort Madison-Keokuk, IA-MO Micro Area","77500","2892"
"310M100US22820","Fort Morgan, CO Micro Area","136700","8246"
"310M100US22840","Fort Payne, AL Micro Area","87400","3914"
"310M100US22860","Fort Polk South, LA Micro Area","87600","2819"
"310M100US22900","Fort Smith, AR-OK Metro Area","95600","1970"
"310M100US22980","Fort Valley, GA Micro Area","118900","7417"
"310M100US23060","Fort Wayne, IN Metro Area","113700","1178"
"310M100US23140","Frankfort, IN Micro Area","99100","2487"
"310M100US23180","Frankfort, KY Micro Area","137900","3552"
"310M100US23240","Fredericksburg, TX Micro Area","195700","11493"
"310M100US23300","Freeport, IL Micro Area","104500","3807"
"310M100US23340","Fremont, NE Micro Area","110100","3194"
"310M100US23380","Fremont, OH Micro Area","113100","2534"
"310M100US23420","Fresno, CA Metro Area","236400","2220"
"310M100US23460","Gadsden, AL Metro Area","102000","3761"
"310M100US23500","Gaffney, SC Micro Area","82300","3305"
"310M100US23540","Gainesville, FL Metro Area","179100","4188"
"310M100US23580","Gainesville, GA Metro Area","174400","2825"
"310M100US23620","Gainesville, TX Micro Area","111300","7362"
"310M100US23660","Galesburg, IL Micro Area","81800","1842"
"310M100US23700","Gallup, NM Micro Area","72200","10453"
"310M100US23780","Garden City, KS Micro Area","105300","4485"
"310M100US23820","Gardnerville Ranchos, NV Micro Area","346600","10692"
"310M100US23860","Georgetown, SC Micro Area","170500","8046"
"310M100US23900","Gettysburg, PA Micro Area","202800","3933"
"310M100US23940","Gillette, WY Micro Area","199800","6942"
"310M100US23980","Glasgow, KY Micro Area","90900","3908"
"310M100US24020","Glens Falls, NY Metro Area","164800","2557"
"310M100US24100","Gloversville, NY Micro Area","98700","4444"
"310M100US24140","Goldsboro, NC Metro Area","107200","3330"
"310M100US24180","Granbury, TX Micro Area","148600","6272"
"310M100US24220","Grand Forks, ND-MN Metro Area","136000","2672"
"310M100US24260","Grand Island, NE Micro Area","105100","2386"
"310M100US24300","Grand Junction, CO Metro Area","222800","3815"
"310M100US24340","Grand Rapids-Wyoming, MI Metro Area","141100","980"
"310M100US24380","Grants, NM Micro Area","81300","4740"
"310M100US24420","Grants Pass, OR Micro Area","242600","6017"
"310M100US24460","Great Bend, KS Micro Area","72500","4347"
"310M100US24500","Great Falls, MT Metro Area","151200","2478"
"310M100US24540","Greeley, CO Metro Area","193300","2933"
"310M100US24580","Green Bay, WI Metro Area","157700","1292"
"310M100US24620","Greeneville, TN Micro Area","108000","3855"
"310M100US24660","Greensboro-High Point, NC Metro Area","140900","1406"
"310M100US24700","Greensburg, IN Micro Area","118000","5579"
"310M100US24740","Greenville, MS Micro Area","73600","2471"
"310M100US24780","Greenville, NC Metro Area","124100","3386"
"310M100US24820","Greenville, OH Micro Area","113100","2709"
"310M100US24860","Greenville-Mauldin-Easley, SC Metro Area","139500","1319"
"310M100US24900","Greenwood, MS Micro Area","64600","2945"
"310M100US24940","Greenwood, SC Micro Area","104400","4981"
"310M100US24980","Grenada, MS Micro Area","84900","5072"
"310M100US25020","Guayama, PR Metro Area","89200","1600"
"310M100US25060","Gulfport-Biloxi, MS Metro Area","144500","2758"
"310M100US25100","Guymon, OK Micro Area","87400","5123"
"310M100US25180","Hagerstown-Martinsburg, MD-WV Metro Area","206000","3199"
"310M100US25220","Hammond, LA Micro Area","140000","5969"
"310M100US25260","Hanford-Corcoran, CA Metro Area","208100","4951"
"310M100US25300","Hannibal, MO Micro Area","101700","4352"
"310M100US25340","Harriman, TN Micro Area","121300","5417"
"310M100US25380","Harrisburg, IL Micro Area","69400","3857"
"310M100US25420","Harrisburg-Carlisle, PA Metro Area","166200","1061"
"310M100US25460","Harrison, AR Micro Area","99800","5316"
"310M100US25500","Harrisonburg, VA Metro Area","203000","4484"
"310M100US25540","Hartford-West Hartford-East Hartford, CT Metro Area","258200","1400"
"310M100US25580","Hastings, NE Micro Area","93400","3020"
"310M100US25620","Hattiesburg, MS Metro Area","126300","4686"
"310M100US25660","Havre, MT Micro Area","109700","5745"
"310M100US25700","Hays, KS Micro Area","123600","4999"
"310M100US25720","Heber, UT Micro Area","315100","19347"
"310M100US25740","Helena, MT Micro Area","201500","5244"
"310M100US25760","Helena-West Helena, AR Micro Area","60400","4394"
"310M100US25780","Henderson, NC Micro Area","100500","6626"
"310M100US25820","Hereford, TX Micro Area","78100","6124"
