1000.0	193	0                                                              
  988.0	287	-6.1 
  984.0	319	-5.9   
  948.0	610	-8.0   
  935.0	717	-8.7  
  925.0	801	-7.1  
  920.0	843	-6.1  
  911.8	914	-5.3   
  904.0	981	-4.5   
  881.0	1185	-1.3  
  877.2	1219	-1.2  
  872.0	1267	-1.1  
  856.0	1414	-1.9  
  850.0	1470	-1.5  
  831.0	1650	-2.3  
  822.0	1736	-2.5  
  812.4	1829	-3.1  
  786.0	2090	-4.9  
  781.6	2134	-5.0  
  767.0	2282	-5.5  
  757.0	2384	-5.9  
  751.9	2438	-5.8  
  745.0	2510	-5.7  
  723.0	2743	-7.2  
  707.0	2918	-8.3  
  700.0	2995	-8.3  
  676.0	3266	-8.7  
  661.0	3440	-8.1  
  642.6	3658	-9.0  
  622.0	3910	-10.1  
  595.0	4251	-12.1  
  593.8	4267	-12.2  
  584.0	4394	-12.7 
  568.0	4605	-14.3  
  547.9	4877	-16.1  
  540.0	4987	-16.9  
  511.0	5399	-20.3  
  500.0	5560	-21.1  
  475.0	5936	-24.1  
  464.7	6096	-25.0  
  450.0	6329	-26.3  
  445.5	6401	-26.8  
  422.0	6790	-29.5  
  400.0	7170	-32.7  
  374.5	7620	-36.5  
  316.0	8778	-46.3  
  305.0	9012	-48.3  
  300.0	9120	-49.3  
  298.9	9144	-49.5  
  274.0	9712	-54.3  
  257.0	10124	-56.7  
  250.0	10300	-57.9  
  240.0	10556	-59.9  
  235.7	10668	-60.4  
  234.0	10713	-60.6  
  227.0	10901	-61.5  
  221.0	11067	-60.3  
  215.0	11238	-60.7  
  208.0	11445	-58.7  
  203.0	11597	-59.3  
  200.0	11690	-58.7  
  198.0	11753	-58.1  
  191.0	11978	-58.9  
  188.0	12078	-58.3  
  184.6	12192	-56.3  
  183.0	12248	-55.3  
  170.0	12714	-57.5  
  165.0	12902	-56.7  
  159.7	13106	-57.7  
  153.0	13376	-59.1  
  152.2	13411	-59.0  
  150.0	13500	-58.9  
  146.0	13670	-58.7  
  144.9	13716	-59.0  
  141.0	13888	-59.9 
  131.5	14326	-59.4  
  126.0	14592	-59.1  
  119.0	14949	-60.3  
  113.6	15240	-59.2  
  112.0	15328	-58.9  
  106.0	15673	-58.9  
  105.0	15733	-58.1  
  100.0	16040	-58.5  
   84.3	17109	-61.7  
   73.3	17983	-59.9 
   70.0	18270	-59.3  
   69.8	18288	-59.3  
   65.4	18697	-58.3  
   60.3	19202	-60.0  
   58.3	19416	-60.7  
   57.5	19507	-60.8  
   50.0	20370	-61.5  
   49.6	20422	-61.2  
   49.4	20445	-61.1  
   47.2	20726	-61.9  
   42.7	21336	-63.5  
   40.7	21641	-64.3  
   39.7	21790	-64.7  
   31.7	23165	-62.5  
   30.2	23470	-62.0  
   30.0	23510	-61.9  
   28.3	23872	-61.5  
   27.4	24072	-62.5  
   26.1	24384	-61.5 
   25.5	24517	-61.1  
   23.0	25158	-61.3 
   22.5	25298	-61.8  
   20.0	26020	-64.1  
   19.0	26333	-64.9  
   15.8	27432	-70.5  
   15.1	27707	-71.9 
   13.3	28455	-71.1  
   12.1	29019	-66.5  
   10.8	29706	-65.9  
   10.0	30170	-67.9  
    9.6	30416	-67.5  
    9.5	30480	-68.0  
    9.1	30736	-69.9  
    8.6	31073	-68.5 
