"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
" Pair "," Player Name                     ","Total","Round","Round","Round","Round","Round","Round","Round","  Num  "," USCF I "," Rtg (Pre->Post)       "," Pts ","  1  ","  2  ","  3  ","  4  ","  5  ","  6  ","  7  "," "
"   34 "," MICHAE JEFFERY THOMAS          ","3.5  ","   6","  60","  37","  29","  25","  11","  52","   MI "," 15051807 "," R: 1399   ->1400     ","     ","B    ","    ","B    ","B    ","    ","B    ","    ","   34 "
"   35 "," JOSHUA AVI EE                ","3.5  ","  46","  38","  56","   6","  57","  52","  48","   MI "," 14601397 "," R: 1438   ->1392     ","     ","    ","    ","B    ","    ","B    ","B    ","    ","   35 "
"   36 "," SIHARTH JHA                   ","3.5  ","  13","  57","  51","  33","H    ","  16","  28","   MI "," 14773163 "," R: 1355   ->1367     ","N:4  ","    ","B    ","    ","B    ","     ","    ","B    ","   36 "
"   37 "," AMIYATOSH PNANANAM            ","3.5  ","B    ","   5","  34","  27","H    ","  23","  61","   MI "," 15489571 "," R:  980P12->1077P17  ","     ","     ","B    ","    ","    ","     ","B    ","    ","   37 "
"   38 "," BRIAN IU                       ","3.0  ","  11","  35","  29","  12","H    ","  18","  15","   MI "," 15108523 "," R: 1423   ->1439     ","N:4  ","    ","B    ","    ","    ","     ","B    ","B    ","   38 "
"   39 "," JOE R HENON                   ","3.0  ","   1","  54","  40","  16","  44","  21","  24","   MI "," 12923035 "," R: 1436P23->1413     ","N:4  ","B    ","    ","B    ","    ","B    ","    ","    ","   39 "
"   40 "," FOREST ZHANG                    ","3.0  ","  20","  26","  39","  59","  21","  56","  22","   MI "," 14892710 "," R: 1348   ->1346     ","     ","B    ","B    ","    ","    ","B    ","    ","    ","   40 "
"   41 "," KYE IIAM MURPHY             ","3.0  ","  59","  17","  58","  20","X    ","U    ","U    ","   MI "," 15761443 "," R: 1403P5 ->1341P9   ","     ","B    ","    ","B    ","    ","     ","     ","     ","   41 "
"   42 "," JARE GE                        ","3.0  ","  12","  50","  57","  60","  61","  64","  56","   MI "," 14462326 "," R: 1332   ->1256     ","     ","B    ","    ","B    ","B    ","    ","    ","B    ","   42 "
"   43 "," ROBERT GEN VASEY               ","3.0  ","  21","  23","  24","  63","  59","  46","  55","   MI "," 14101068 "," R: 1283   ->1244     ","     ","    ","B    ","    ","    ","B    ","B    ","    ","   43 "
"   44 "," JUSTIN  SCHIING              ","3.0  ","B    ","  14","  32","  53","  39","  24","  59","   MI "," 15323504 "," R: 1199   ->1199     ","     ","     ","    ","B    ","B    ","    ","B    ","    ","   44 "
"   45 "," EREK YAN                       ","3.0  ","   5","  51","  60","  56","  63","  55","  58","   MI "," 15372807 "," R: 1242   ->1191     ","     ","    ","B    ","    ","B    ","    ","B    ","    ","   45 "
"   46 "," JACOB AEXANER AVAEY        ","3.0  ","  35","   7","  27","  50","  64","  43","  23","   MI "," 15490981 "," R:  377P3 ->1076P10  ","     ","B    ","    ","B    ","    ","B    ","    ","    ","   46 "
"   47 "," ERIC RIGHT                     ","2.5  ","  18","  24","  21","  61","   8","  51","  25","   MI "," 12533115 "," R: 1362   ->1341     ","     ","    ","B    ","    ","B    ","    ","B    ","    ","   47 "
"   48 "," ANIE KHAIN                    ","2.5  ","  17","  63","H    ","  52","H    ","  29","  35","   MI "," 14369165 "," R: 1382   ->1335     ","     ","B    ","    ","     ","B    ","     ","    ","B    ","   48 "
"   49 "," MICHAE J MARTIN                ","2.5  ","  26","  20","  63","  64","  58","H    ","U    ","   MI "," 12531685 "," R: 1291P12->1259P17  ","     ","    ","    ","B    ","    ","B    ","     ","     ","   49 "
"   50 "," SHIVAM JHA                      ","2.5  ","  29","  42","  33","  46","H    ","  31","  30","   MI "," 14773178 "," R: 1056   ->1111     ","     ","    ","B    ","    ","B    ","     ","B    ","    ","   50 "
"   51 "," TEJAS AYYAGARI                  ","2.5  ","  27","  45","  36","  57","  32","  47","  33","   MI "," 15205474 "," R: 1011   ->1097     ","     ","B    ","    ","B    ","    ","B    ","    ","    ","   51 "
"   52 "," ETHAN GUO                       ","2.5  ","  30","  22","  19","  48","  29","  35","  34","   MI "," 14918803 "," R:  935   ->1092     ","N:4  ","B    ","    ","B    ","    ","B    ","    ","B    ","   52 "
